Pubchem CID,IUPAC Name,IUPAC Name (traditional),InChi,InChi Key,Canonical SMILES,Isomeric SMILES
97034,"4-methyl-N-[5-(2-methylpropyl)-1,3,4-thiadiazol-2-yl]benzenesulfonamide","4-methyl-N-[5-(2-methylpropyl)-1,3,4-thiadiazol-2-yl]benzenesulfonamide","InChI=1S/C13H17N3O2S2/c1-9(2)8-12-14-15-13(19-12)16-20(17,18)11-6-4-10(3)5-7-11/h4-7,9H,8H2,1-3H3,(H,15,16)",PCAGBWNSEHFSDS-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)CC(C)C,CC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)CC(C)C
156855,"(2S,4S)-2-amino-4-chloropentanoic acid","(2S,4S)-2-amino-4-chloropentanoic acid","InChI=1S/C5H10ClNO2/c1-3(6)2-4(7)5(8)9/h3-4H,2,7H2,1H3,(H,8,9)/t3-,4-/m0/s1",RGNIDFUXHFKULB-IMJSIDKUSA-N,CC(CC(C(=O)O)N)Cl,C[C@@H](C[C@@H](C(=O)O)N)Cl
443711,"[(2R,3S,4S)-4-amino-3,5-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl dihydrogen phosphate","[(2R,3S,4S)-4-amino-3,5-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]methyl dihydrogen phosphate","InChI=1S/C6H14NO8P/c7-5-4(9)3(1-14-16(11,12)13)15-6(5,10)2-8/h3-5,8-10H,1-2,7H2,(H2,11,12,13)/t3-,4-,5+,6?/m1/s1",KYORZMSTOXVELJ-VRPWFDPXSA-N,C(C1C(C(C(O1)(CO)O)N)O)OP(=O)(O)O,C([C@@H]1[C@H]([C@@H](C(O1)(CO)O)N)O)OP(=O)(O)O
34999,"4-methyl-6-(trichloromethyl)-N-(trichloromethylsulfanyl)-1,3,5-triazin-2-amine","1,1,1-trichloro-N-[4-methyl-6-(trichloromethyl)-1,3,5-triazin-2-yl]methanesulfenamide","InChI=1S/C6H4Cl6N4S/c1-2-13-3(5(7,8)9)15-4(14-2)16-17-6(10,11)12/h1H3,(H,13,14,15,16)",YRRAQPSWYJMHAT-UHFFFAOYSA-N,CC1=NC(=NC(=N1)NSC(Cl)(Cl)Cl)C(Cl)(Cl)Cl,CC1=NC(=NC(=N1)NSC(Cl)(Cl)Cl)C(Cl)(Cl)Cl
358382,tert-butyl 2-acetylpent-4-enoate,2-acetyl-4-pentenoic acid tert-butyl ester,"InChI=1S/C11H18O3/c1-6-7-9(8(2)12)10(13)14-11(3,4)5/h6,9H,1,7H2,2-5H3",XGQSMBFONVGVFW-UHFFFAOYSA-N,CC(=O)C(CC=C)C(=O)OC(C)(C)C,CC(=O)C(CC=C)C(=O)OC(C)(C)C
440809,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3-(2-hydroxyphenyl)prop-2-enoate","3-(2-hydroxyphenyl)-2-propenoic acid [(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl] ester","InChI=1S/C15H18O8/c16-7-10-12(19)13(20)14(21)15(22-10)23-11(18)6-5-8-3-1-2-4-9(8)17/h1-6,10,12-17,19-21H,7H2/t10-,12-,13+,14-,15+/m1/s1",KDNJTHIKZATBIB-LFHLZQBKSA-N,C1=CC=C(C(=C1)C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O,C1=CC=C(C(=C1)C=CC(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O
349442,"1,2,5-trimethyl-4,4-diphenylpiperidin-3-one","1,2,5-trimethyl-4,4-diphenyl-3-piperidinone","InChI=1S/C20H23NO/c1-15-14-21(3)16(2)19(22)20(15,17-10-6-4-7-11-17)18-12-8-5-9-13-18/h4-13,15-16H,14H2,1-3H3",IGCYVDBQYFDEQI-UHFFFAOYSA-N,CC1CN(C(C(=O)C1(C2=CC=CC=C2)C3=CC=CC=C3)C)C,CC1CN(C(C(=O)C1(C2=CC=CC=C2)C3=CC=CC=C3)C)C
317335,N-(4-fluorophenyl)-1-thiophen-2-ylmethanimine,N-(4-fluorophenyl)-1-thiophen-2-ylmethanimine,InChI=1S/C11H8FNS/c12-9-3-5-10(6-4-9)13-8-11-2-1-7-14-11/h1-8H,XNLBJIUTCRYNKB-UHFFFAOYSA-N,C1=CSC(=C1)C=NC2=CC=C(C=C2)F,C1=CSC(=C1)C=NC2=CC=C(C=C2)F
314155,N-[[(tert-butylamino)-lambda4-sulfanylidyne]methyl]-2-methylpropan-2-amine,N-[[(tert-butylamino)-lambda4-sulfanylidyne]methyl]-2-methyl-2-propanamine,"InChI=1S/C9H20N2S/c1-8(2,3)10-7-12-11-9(4,5)6/h10-11H,1-6H3",CRFQLVJWNKIMPC-UHFFFAOYSA-N,CC(C)(C)NC#SNC(C)(C)C,CC(C)(C)NC#SNC(C)(C)C
392554,"1-[2-[1-(6-benzyl-5-methyl-2,4-dioxopyrimidin-1-yl)ethoxy]ethyl]-1-hydroxyurea","1-hydroxy-1-[2-[1-[5-methyl-2,4-dioxo-6-(phenylmethyl)-1-pyrimidinyl]ethoxy]ethyl]urea","InChI=1S/C17H22N4O5/c1-11-14(10-13-6-4-3-5-7-13)21(17(24)19-15(11)22)12(2)26-9-8-20(25)16(18)23/h3-7,12,25H,8-10H2,1-2H3,(H2,18,23)(H,19,22,24)",WAKYVXUPTLGINL-UHFFFAOYSA-N,CC1=C(N(C(=O)NC1=O)C(C)OCCN(C(=O)N)O)CC2=CC=CC=C2,CC1=C(N(C(=O)NC1=O)C(C)OCCN(C(=O)N)O)CC2=CC=CC=C2
